sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_0_72_3220_131.jpg,0.99999094,8.09894e-06,1.4882776e-08,6.2493875e-08,8.6114125e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_100_1179_3359_80.jpg,0.9999968,7.15758e-07,1.7114776e-09,1.3076066e-08,2.4624524e-06,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_101_1181_2348_73.jpg,1.0,1.7583955e-11,2.8037636e-10,2.1723665e-09,7.786342e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_102_1188_4011_78.jpg,0.99999976,9.829569e-10,3.8903827e-10,3.9478976e-09,2.4041063e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_103_1222_2785_78.jpg,0.99999976,7.718633e-09,6.0102306e-10,3.993701e-10,2.6098965e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_104_1248_3176_97.jpg,1.0,1.16224676e-10,6.529756e-11,4.3426285e-10,1.1955579e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_105_1228_2080_70.jpg,0.9999999,2.6318243e-09,1.0914013e-09,9.01062e-08,2.667683e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_106_1235_702_82.jpg,1.0,1.084022e-09,1.9741677e-08,2.350978e-08,6.016888e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_107_1280_129_86.jpg,1.0,1.4412554e-08,1.0889873e-09,9.7813094e-12,1.3403097e-10,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_108_1273_1963_76.jpg,1.0,1.8808935e-10,1.8817978e-10,2.8437153e-10,2.4761965e-10,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_109_1279_2596_76.jpg,1.0,9.6570885e-12,2.1224585e-11,3.9003767e-10,4.1794066e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_10_162_1650_88.jpg,1.0,1.7900681e-09,2.4185448e-10,1.8064664e-09,8.187222e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_110_1275_3478_73.jpg,0.99999976,4.028067e-09,1.20188455e-08,2.7463142e-07,3.5335326e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_111_1274_1631_59.jpg,0.99999857,1.0727925e-06,2.7079986e-07,1.3145783e-08,6.9666186e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_112_1266_391_48.jpg,0.99991715,8.2822466e-05,2.0542219e-08,3.7719522e-10,5.5427083e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_113_1368_908_64.jpg,0.9999958,3.918182e-06,1.8863658e-07,1.5572174e-09,3.331561e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_114_1373_50_75.jpg,1.0,8.142926e-10,2.3286795e-10,1.3800909e-11,3.3671563e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_115_1383_3379_74.jpg,1.0,2.471175e-11,9.760287e-12,3.8456682e-10,1.3523345e-11,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_116_1383_2376_57.jpg,0.99999774,8.048074e-09,3.9939767e-09,3.4447524e-08,2.2489414e-06,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_117_1414_3022_77.jpg,0.99999917,5.3506897e-09,2.0812756e-09,3.587588e-08,8.5503285e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_118_1431_1571_68.jpg,0.99999976,4.1149885e-08,6.2422835e-08,1.1603124e-07,3.303259e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_119_1437_3985_108.jpg,0.9999995,4.3772976e-09,7.47937e-09,2.9455254e-08,4.296352e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.49.jpg\grade_0_49_11_154_2640_67.jpg,0.9999994,6.058752e-07,5.2983108e-08,5.083609e-08,2.6985356e-08,0
