sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_0_39_1268_73.jpg,3.1449492e-11,1.5131811e-09,2.5959753e-11,0.9999999,7.392183e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_100_729_1419_99.jpg,4.7153987e-09,1.6487746e-07,9.742207e-08,0.99999964,1.5866488e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_101_716_3157_73.jpg,2.2269154e-08,6.5722894e-08,1.3851444e-07,0.9999546,4.5138666e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_102_724_1668_72.jpg,1.002782e-09,5.0678988e-08,3.8537927e-08,0.999998,1.9367742e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_103_740_1219_73.jpg,2.0296083e-07,2.5472864e-06,4.1587947e-07,0.99999595,8.219428e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_104_725_4035_46.jpg,1.0830772e-07,6.0670158e-05,1.0894701e-05,0.99964964,0.00027875367,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_105_750_2342_75.jpg,1.0985859e-07,2.0265034e-06,2.804095e-06,0.9999207,7.439919e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_106_770_2164_74.jpg,1.4380745e-07,9.0802473e-07,7.894327e-08,0.99999785,1.0775125e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_107_808_434_111.jpg,1.9813753e-09,3.0436433e-09,5.4242877e-09,0.99998844,1.16177525e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_108_793_2824_63.jpg,4.9361187e-08,4.613502e-07,7.956131e-08,0.99999905,3.523067e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_109_821_3982_100.jpg,1.6012937e-07,5.8280806e-05,6.5650875e-06,0.99850357,0.0014314274,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_10_124_3466_82.jpg,7.500589e-10,2.398135e-08,2.8633842e-08,0.9999987,1.3608463e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_110_813_569_83.jpg,4.4215693e-07,1.066938e-06,2.1076572e-08,0.99999654,1.9236961e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_111_819_3209_66.jpg,3.8895545e-09,2.9700217e-08,1.7216138e-08,0.9999999,8.3846246e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_112_839_2059_73.jpg,6.203309e-08,6.311495e-07,7.4282096e-09,0.99999845,7.8260103e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_113_848_3793_69.jpg,1.4982472e-09,3.6903884e-09,1.88007e-08,0.99999976,2.6961047e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_114_847_1427_71.jpg,6.0717525e-08,5.2380933e-08,3.116482e-08,0.9999901,9.781448e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_115_852_2758_75.jpg,1.5128425e-08,1.6250355e-07,8.452793e-08,0.99996614,3.362313e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_116_853_3411_72.jpg,6.8425116e-10,2.156275e-08,1.3900326e-09,0.9999994,5.4933986e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_117_860_3879_92.jpg,5.109934e-07,1.3046054e-05,2.159069e-05,0.9998042,0.00016069118,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_118_862_779_85.jpg,1.5413555e-07,5.5821907e-08,7.125732e-08,0.99998474,1.5021822e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_119_868_1033_69.jpg,1.7587373e-09,8.2224153e-07,6.293201e-09,0.9999988,3.5152064e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-26.jpg\grade_3_26_11_122_1059_62.jpg,5.394676e-07,5.2186135e-08,4.1402963e-08,0.99969375,0.00030572747,3
