sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_0_38_2190_72.jpg,0.9999976,3.253698e-07,4.1191477e-09,1.3214665e-06,6.976768e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_100_931_3896_72.jpg,0.9999783,1.0511756e-05,2.836353e-07,3.6041172e-06,7.3783463e-06,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_101_952_2831_79.jpg,1.0,1.4306736e-10,1.2021031e-11,1.1905426e-09,1.2643111e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_102_960_3012_85.jpg,1.0,3.5870706e-08,3.4194492e-10,4.3919015e-09,2.5913344e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_103_955_1598_75.jpg,0.9999999,5.920512e-08,7.998952e-09,4.7071442e-08,1.10484265e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_104_950_1336_68.jpg,1.0,3.1853886e-09,1.143588e-11,2.6461812e-08,1.0969345e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_105_966_3285_75.jpg,0.99999964,8.9822024e-08,1.042239e-09,5.4593613e-08,2.280416e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_106_986_1060_89.jpg,0.9999999,6.5865926e-08,7.771059e-09,3.4305383e-08,2.8233103e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_107_1000_291_72.jpg,1.0,8.153513e-09,4.5222944e-12,5.6397187e-10,2.0939195e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_108_1007_1740_73.jpg,0.99999845,1.4051933e-06,1.1517545e-09,4.4531784e-08,1.1100458e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_109_1005_62_55.jpg,0.99999785,6.3254527e-07,1.359054e-08,1.451126e-06,8.9599595e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_10_107_1783_66.jpg,1.0,7.0361854e-09,8.779309e-11,4.747537e-09,2.925248e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_110_1103_2665_59.jpg,0.9999907,6.024064e-06,1.4281883e-07,1.1860309e-06,1.9604163e-06,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_111_1110_1023_74.jpg,0.99999976,4.3252926e-10,3.248019e-11,7.905704e-08,1.4249497e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_112_1111_1298_66.jpg,0.9999999,3.4978573e-09,9.111367e-10,1.2348794e-08,6.4428434e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_113_1119_1646_61.jpg,0.99999964,1.348229e-07,1.345262e-07,9.973593e-09,1.7070278e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_114_1114_1482_58.jpg,0.9999999,8.156717e-09,8.3990215e-10,6.2143904e-08,4.662778e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_115_1135_672_77.jpg,1.0,1.6952786e-08,1.9650706e-10,6.924626e-10,8.151368e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.13.jpg\grade_0_13_116_1139_1792_73.jpg,0.9999988,6.2020575e-08,1.8595963e-09,7.4428056e-07,4.0967362e-07,0
