sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_0_49_2500_68.jpg,0.999951,3.0054664e-06,4.4894103e-05,4.7356113e-07,5.4576725e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_100_1301_1647_71.jpg,0.99982697,1.0696747e-06,0.00017158945,3.2588687e-07,8.1901925e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_101_1311_2188_66.jpg,0.9999994,8.185268e-08,4.9511766e-07,8.600688e-10,1.2504097e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_102_1322_3091_81.jpg,0.99992394,6.259793e-05,1.2509381e-05,4.1065329e-07,5.6121564e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_103_1323_2292_72.jpg,0.9782729,0.0034796635,0.018109405,0.000102696875,3.516473e-05,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_104_1328_1463_61.jpg,0.9999896,1.1109341e-07,1.0190763e-05,1.594653e-07,1.6777354e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_105_1337_3874_72.jpg,0.9999684,3.8333337e-09,3.1554348e-05,1.6262291e-08,1.5992862e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_106_1361_1721_74.jpg,0.99999714,3.5180626e-08,2.7743065e-06,8.0303174e-08,9.162478e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_107_1345_2838_49.jpg,0.9997751,8.2010556e-05,0.00014215944,5.295746e-07,1.8906331e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_108_1368_3438_56.jpg,1.0,3.8637143e-08,1.0460117e-08,1.707243e-11,3.9062247e-12,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_109_1376_3569_71.jpg,0.9983346,2.4402929e-05,0.0016156887,5.424189e-06,1.9873223e-05,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_10_231_1150_82.jpg,0.99999726,2.4640603e-06,1.9304524e-07,2.3095477e-09,1.6210135e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_110_1388_511_74.jpg,0.9999995,5.986347e-08,3.4739372e-07,1.8338628e-10,1.8960795e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_111_1427_2270_95.jpg,0.9999937,4.4821345e-06,1.8245838e-06,2.0163853e-08,2.3512143e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_112_1408_2767_64.jpg,0.9995565,0.00037989696,6.115313e-05,2.4247038e-06,1.5522537e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_113_1429_1065_92.jpg,0.9999865,1.2471877e-07,1.32969735e-05,8.72137e-09,2.006755e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_114_1421_1502_91.jpg,0.99998736,7.2875356e-10,1.2654454e-05,7.598781e-10,1.7243453e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_115_1402_2914_58.jpg,0.99945956,3.6119243e-06,0.00053666864,1.7737294e-07,1.5303544e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_116_1425_3163_66.jpg,0.99999,3.4485797e-07,9.714244e-06,3.1180274e-08,6.2932535e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_117_1444_1608_78.jpg,0.9999918,5.137523e-06,2.2835025e-06,8.053032e-07,9.90604e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_118_1446_1363_67.jpg,0.99977964,4.23639e-07,0.00021885979,9.400787e-07,1.4476547e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_119_1439_3221_55.jpg,0.9985638,3.6017474e-05,0.0013927458,2.5032932e-06,4.8819484e-06,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_11_286_2300_90.jpg,0.9999838,4.3888076e-07,1.564157e-05,1.7290868e-07,1.2944068e-10,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_120_1443_3602_71.jpg,0.9988187,3.237112e-05,0.0011348901,1.3421327e-05,6.306815e-07,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_121_1471_930_94.jpg,0.99999344,8.8035665e-07,5.487206e-06,1.8708909e-07,5.6510153e-08,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_122_1459_3812_68.jpg,0.99999475,4.404082e-06,8.375036e-07,3.6599965e-09,6.7101507e-09,0
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade0/ImageN.08.jpg\grade_0_08_123_1481_3305_102.jpg,0.9974021,0.00035466813,0.002240847,1.354796e-06,1.0529822e-06,0
