sample_path,grade_p_0,grade_p_1,grade_p_2,grade_p_3,grade_p_4,sample_label
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_0_37_1355_68.jpg,1.6742304e-08,4.3784425e-07,5.140399e-05,0.99994814,1.2895666e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_100_548_1841_52.jpg,3.4472605e-10,5.2921047e-07,1.459264e-06,0.999998,1.4529656e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_101_573_2899_66.jpg,4.455413e-11,3.4549181e-09,3.7218313e-09,1.0,6.4862204e-12,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_102_587_1898_62.jpg,1.3557751e-07,0.0003074418,2.9683059e-05,0.99966276,4.2727482e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_103_582_2005_65.jpg,8.7227767e-07,3.0039116e-06,0.046121277,0.9538745,3.656513e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_104_587_2228_62.jpg,2.3570364e-07,1.0707209e-05,0.007510483,0.9924764,2.0831692e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_105_618_684_84.jpg,3.01246e-08,3.9125494e-05,0.0007016284,0.99925905,1.4083592e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_106_615_1547_68.jpg,3.1041272e-06,0.003117332,0.049866136,0.94692856,8.493743e-05,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_107_602_3980_57.jpg,4.013668e-09,1.2594092e-08,0.00014993144,0.99985003,2.1891525e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_108_621_3004_64.jpg,3.530965e-11,5.1820224e-09,2.6019661e-06,0.9999974,1.3412556e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_109_627_2176_59.jpg,6.8101444e-09,2.0832267e-06,8.2192344e-07,0.99999714,3.3687703e-10,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_10_106_1536_95.jpg,1.5721907e-10,2.8728682e-09,2.2350037e-05,0.9999776,4.6910653e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_110_643_220_82.jpg,7.87027e-08,1.7653443e-05,0.00010295753,0.99987924,1.2229575e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_111_651_553_59.jpg,1.2906014e-07,2.7695364e-07,0.004515965,0.9954833,2.988894e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_112_649_2841_74.jpg,9.2381564e-10,2.0853999e-07,4.477571e-05,0.99995494,1.0273065e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_113_693_3902_117.jpg,2.7287464e-07,3.9418224e-05,0.080878966,0.9190781,3.1852865e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_114_662_1948_76.jpg,2.9700453e-09,3.248419e-07,0.009550767,0.9904489,4.8166434e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_115_664_2952_58.jpg,4.1375433e-08,1.15918e-06,0.011533607,0.98846406,1.23701e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_116_809_777_140.jpg,1.0674627e-06,4.353977e-05,0.89705867,0.102891296,5.5029427e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_117_683_2752_59.jpg,2.9929413e-11,2.608412e-09,9.301397e-06,0.9999907,1.0720185e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_118_688_2423_75.jpg,1.6373057e-09,1.230237e-06,0.00012129026,0.99987733,1.2976933e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_119_715_396_89.jpg,8.266878e-08,7.04722e-07,0.13429984,0.8656987,6.813914e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_11_132_3020_91.jpg,1.09861205e-07,2.0080408e-06,0.023957724,0.97603965,4.0959864e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_120_702_1028_83.jpg,4.5506738e-08,7.2458824e-05,0.040916916,0.9590104,1.01699406e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_121_688_2632_66.jpg,1.2152745e-08,6.804686e-07,4.002213e-06,0.99999535,8.130771e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_122_700_1812_88.jpg,1.2743107e-09,1.810121e-09,6.432029e-06,0.99999356,5.1097116e-11,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_123_691_3451_82.jpg,4.635706e-09,1.530239e-06,0.01127608,0.9887216,7.4467306e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_124_700_3781_61.jpg,2.530788e-08,1.4404526e-07,0.0014757074,0.9985241,2.0204303e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_125_708_673_72.jpg,3.3656136e-08,1.6328399e-06,0.023994835,0.97600335,1.7762714e-07,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_126_721_3056_77.jpg,6.4213145e-07,0.000115325915,0.0017936735,0.9980903,3.050892e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_127_710_2860_89.jpg,9.029233e-10,3.1813136e-07,5.629237e-05,0.9999434,8.257501e-09,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_128_740_3230_91.jpg,1.43619274e-11,4.775354e-09,5.801704e-06,0.99999416,2.599807e-10,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_129_725_545_63.jpg,4.8180027e-07,2.9630903e-05,0.11651139,0.88345534,3.1437348e-06,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_12_111_1388_72.jpg,2.1990609e-06,0.0056353197,0.013677141,0.98068535,3.3227888e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_130_734_3307_63.jpg,2.4258918e-07,8.9780015e-06,0.004906324,0.99508446,5.5065644e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_131_786_2154_95.jpg,1.6619389e-07,3.8495215e-05,0.12156653,0.8783948,3.793787e-08,3
D:/jupyter-notebook/LiverCancer/Image_Nuclei/images/grade3/Image3-37.jpg\grade_3_37_132_723_1637_60.jpg,9.9729495e-11,3.8217407e-09,4.8590886e-05,0.99995136,3.7738623e-08,3
