file_path,index,coord_x,coord_y,diameter
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,0,45,107,78
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,1,39,1202,49
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,2,77,2577,84
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,3,61,344,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,4,133,2952,117
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,5,120,3835,102
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,6,127,1737,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,7,151,533,79
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,8,148,2232,88
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,9,147,871,58
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,10,175,1456,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,11,227,3546,103
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,12,246,3700,84
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,13,233,1849,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,14,254,1136,93
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,15,271,2207,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,16,277,178,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,17,293,917,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,18,319,267,61
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,19,323,589,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,20,337,1810,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,21,343,1937,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,22,357,2846,56
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,23,373,3484,79
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,24,358,3311,45
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,25,368,2027,52
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,26,373,101,53
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,27,417,3026,101
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,28,409,239,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,29,408,537,58
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,30,437,3688,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,31,449,1613,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,32,460,827,78
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,33,473,1787,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,34,476,3794,60
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,35,476,1302,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,36,493,3367,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,37,498,2036,84
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,38,506,3611,80
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,39,537,2147,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,40,551,3061,81
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,41,550,1572,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,42,565,2317,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,43,582,2752,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,44,606,2633,62
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,45,688,2989,136
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,46,618,3441,99
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,47,617,840,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,48,611,650,54
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,49,622,2060,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,50,631,2531,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,51,632,3225,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,52,684,1401,103
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,53,679,581,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,54,701,2381,75
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,55,700,2701,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,56,717,1031,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,57,727,2816,92
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,58,733,4008,81
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,59,742,2044,63
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,60,767,3208,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,61,775,267,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,62,774,3487,59
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,63,798,3622,55
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,64,840,1414,100
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,65,832,1147,77
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,66,865,3111,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,67,882,668,95
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,68,901,1754,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,69,918,816,92
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.42.jpg,70,900,2816,50
