file_path,index,coord_x,coord_y,diameter
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,0,49,3026,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,1,58,3191,77
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,2,86,2360,85
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,3,85,2524,60
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,4,100,698,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,5,97,265,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,6,112,2103,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,7,98,3691,52
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,8,123,1017,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,9,133,3922,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,10,150,1182,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,11,164,116,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,12,181,3551,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,13,197,1789,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,14,212,429,52
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,15,245,2891,80
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,16,273,3837,94
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,17,269,2997,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,18,284,3963,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,19,298,3511,88
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,20,302,645,77
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,21,329,2761,110
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,22,359,1496,97
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,23,354,437,80
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,24,377,3681,134
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,25,367,1777,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,26,372,3028,73
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,27,394,2248,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,28,402,1183,78
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,29,418,4022,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,30,423,2660,73
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,31,454,1975,77
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,32,462,661,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,33,481,426,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,34,493,3917,93
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,35,515,852,90
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,36,529,201,75
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,37,551,80,99
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,38,529,346,63
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,39,544,3093,85
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,40,527,2359,59
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,41,557,1088,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,42,575,1372,79
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,43,596,1866,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,44,632,2855,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,45,645,3993,92
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,46,655,2355,99
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,47,642,3496,75
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,48,664,1797,71
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,49,714,2740,111
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,50,714,2566,88
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,51,756,411,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,52,766,2938,86
D:/jupyter-notebook/LiverCancer/Image_Original/grade0\ImageN.21.jpg,53,815,530,65
