file_path,index,coord_x,coord_y,diameter
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,0,64,3302,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,1,73,2466,65
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,2,79,1179,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,3,66,2888,61
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,4,93,882,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,5,101,3428,90
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,6,108,394,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,7,110,3099,65
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,8,113,1556,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,9,135,1334,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,10,126,2682,51
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,11,149,2963,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,12,153,60,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,13,152,1132,65
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,14,172,4006,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,15,180,1922,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,16,189,669,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,17,193,459,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,18,204,1320,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,19,208,1229,46
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,20,237,3114,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,21,248,558,72
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,22,253,101,67
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,23,260,1161,62
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,24,273,2165,73
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,25,286,254,69
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,26,276,3690,62
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,27,291,1344,75
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,28,285,3429,61
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,29,316,1977,64
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,30,360,3486,76
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,31,361,2746,60
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,32,367,939,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,33,372,806,80
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,34,371,563,86
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,35,369,2865,70
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,36,386,2516,66
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,37,381,3311,63
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,38,395,1264,74
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,39,400,368,68
D:/jupyter-notebook/LiverCancer/Image_Original/grade1\Image1-03.jpg,40,400,1631,58
